,State_FIPS_Code,Name,State_Abbreviation,Year,Annual_Federal_Minimum,Annual_State_Minimum,Annual_Federal_Average,Annual_State_Average,Annual_Federal_Maximum,Annual_State_Maximum
1486,33,New Hampshire,NH,1990,3.35,3.75,3.6890410958903854,3.7876710891723633,3.8000000000000003,3.799999952316284
1487,33,New Hampshire,NH,1991,3.8000000000000003,3.8499999046325684,4.139041095890412,4.151370048522949,4.25,4.25
1488,33,New Hampshire,NH,1992,4.25,4.25,4.25,4.25,4.25,4.25
1489,33,New Hampshire,NH,1993,4.25,4.25,4.25,4.25,4.25,4.25
1490,33,New Hampshire,NH,1994,4.25,4.25,4.25,4.25,4.25,4.25
1491,33,New Hampshire,NH,1995,4.25,4.25,4.25,4.25,4.25,4.25
1492,33,New Hampshire,NH,1996,4.25,4.25,4.3756830601092895,4.375682830810547,4.75,4.75
1493,33,New Hampshire,NH,1997,4.75,4.75,4.883698630137017,4.883698463439941,5.15,5.150000095367432
1494,33,New Hampshire,NH,1998,5.15,5.150000095367432,5.150000000000033,5.150000095367432,5.15,5.150000095367432
1495,33,New Hampshire,NH,1999,5.15,5.150000095367432,5.150000000000033,5.150000095367432,5.15,5.150000095367432
1496,33,New Hampshire,NH,2000,5.15,5.150000095367432,5.150000000000033,5.150000095367432,5.15,5.150000095367432
1497,33,New Hampshire,NH,2001,5.15,5.150000095367432,5.150000000000033,5.150000095367432,5.15,5.150000095367432
1498,33,New Hampshire,NH,2002,5.15,5.150000095367432,5.150000000000033,5.150000095367432,5.15,5.150000095367432
1499,33,New Hampshire,NH,2003,5.15,5.150000095367432,5.150000000000033,5.150000095367432,5.15,5.150000095367432
1500,33,New Hampshire,NH,2004,5.15,5.150000095367432,5.150000000000033,5.150000095367432,5.15,5.150000095367432
1501,33,New Hampshire,NH,2005,5.15,5.150000095367432,5.150000000000033,5.150000095367432,5.15,5.150000095367432
1502,33,New Hampshire,NH,2006,5.15,5.150000095367432,5.150000000000033,5.150000095367432,5.15,5.150000095367432
1503,33,New Hampshire,NH,2007,5.15,5.150000095367432,5.458767123287624,5.676027297973633,5.8500000000000005,6.5
1504,33,New Hampshire,NH,2008,5.8500000000000005,6.5,6.15792349726776,6.7553277015686035,6.55,7.25
1505,33,New Hampshire,NH,2009,6.55,7.25,6.858767123287672,7.25,7.25,7.25
1506,33,New Hampshire,NH,2010,7.25,7.25,7.25,7.25,7.25,7.25
1507,33,New Hampshire,NH,2011,7.25,7.25,7.25,7.25,7.25,7.25
1508,33,New Hampshire,NH,2012,7.25,7.25,7.25,7.25,7.25,7.25
1509,33,New Hampshire,NH,2013,7.25,7.25,7.25,7.25,7.25,7.25
1510,33,New Hampshire,NH,2014,7.25,7.25,7.25,7.25,7.25,7.25
1511,33,New Hampshire,NH,2015,7.25,7.25,7.25,7.25,7.25,7.25
1512,33,New Hampshire,NH,2016,7.25,7.25,7.25,7.25,7.25,7.25
1513,33,New Hampshire,NH,2017,7.25,7.25,7.25,7.25,7.25,7.25
1514,33,New Hampshire,NH,2018,7.25,7.25,7.25,7.25,7.25,7.25
1515,33,New Hampshire,NH,2019,7.25,7.25,7.25,7.25,7.25,7.25
1516,33,New Hampshire,NH,2020,7.25,7.25,7.25,7.25,7.25,7.25
1517,33,New Hampshire,NH,2021,7.25,7.25,7.25,7.25,7.25,7.25
1518,33,New Hampshire,NH,2022,7.25,7.25,7.25,7.25,7.25,7.25
1519,34,New Jersey,NJ,1974,2.0,2.0,2.0,2.0,2.0,2.0
1520,34,New Jersey,NJ,1975,2.1,2.0999999046325684,2.100000000000014,2.0999999046325684,2.1,2.0999999046325684
1521,34,New Jersey,NJ,1976,2.3000000000000003,2.299999952316284,2.299999999999987,2.299999952316284,2.3000000000000003,2.299999952316284
1522,34,New Jersey,NJ,1977,2.3000000000000003,2.299999952316284,2.2999999999999874,2.299999952316284,2.3000000000000003,2.299999952316284
1523,34,New Jersey,NJ,1978,2.65,2.6500000953674316,2.6499999999999844,2.6500000953674316,2.65,2.6500000953674316
1524,34,New Jersey,NJ,1979,2.9,2.9000000953674316,2.8999999999999875,2.9000000953674316,2.9,2.9000000953674316
1525,34,New Jersey,NJ,1980,3.1,3.0999999046325684,3.1000000000000054,3.0999999046325684,3.1,3.0999999046325684
1526,34,New Jersey,NJ,1981,3.35,3.3499999046325684,3.3499999999999988,3.3499999046325684,3.35,3.3499999046325684
1527,34,New Jersey,NJ,1982,3.35,3.3499999046325684,3.3499999999999988,3.3499999046325684,3.35,3.3499999046325684
1528,34,New Jersey,NJ,1983,3.35,3.3499999046325684,3.3499999999999988,3.3499999046325684,3.35,3.3499999046325684
1529,34,New Jersey,NJ,1984,3.35,3.3499999046325684,3.3499999999999983,3.3499999046325684,3.35,3.3499999046325684
1530,34,New Jersey,NJ,1985,3.35,3.3499999046325684,3.3499999999999988,3.3499999046325684,3.35,3.3499999046325684
1531,34,New Jersey,NJ,1986,3.35,3.3499999046325684,3.3499999999999988,3.3499999046325684,3.35,3.3499999046325684
1532,34,New Jersey,NJ,1987,3.35,3.3499999046325684,3.3499999999999988,3.3499999046325684,3.35,3.3499999046325684
1533,34,New Jersey,NJ,1988,3.35,3.3499999046325684,3.3499999999999983,3.3499999046325684,3.35,3.3499999046325684
1534,34,New Jersey,NJ,1989,3.35,3.3499999046325684,3.3499999999999988,3.3499999046325684,3.35,3.3499999046325684
1535,34,New Jersey,NJ,1990,3.35,3.3499999046325684,3.6890410958903854,3.6890411376953125,3.8000000000000003,3.799999952316284
1536,34,New Jersey,NJ,1991,3.8000000000000003,3.799999952316284,4.139041095890412,4.139040946960449,4.25,4.25
1537,34,New Jersey,NJ,1992,4.25,4.25,4.25,4.85109281539917,4.25,5.050000190734863
1538,34,New Jersey,NJ,1993,4.25,5.050000190734863,4.25,5.050000190734863,4.25,5.050000190734863
1539,34,New Jersey,NJ,1994,4.25,5.050000190734863,4.25,5.050000190734863,4.25,5.050000190734863
1540,34,New Jersey,NJ,1995,4.25,5.050000190734863,4.25,5.050000190734863,4.25,5.050000190734863
1541,34,New Jersey,NJ,1996,4.25,5.050000190734863,4.3756830601092895,5.050000190734863,4.75,5.050000190734863
1542,34,New Jersey,NJ,1997,4.75,5.050000190734863,4.883698630137017,5.083425045013428,5.15,5.150000095367432
1543,34,New Jersey,NJ,1998,5.15,5.150000095367432,5.150000000000033,5.150000095367432,5.15,5.150000095367432
1544,34,New Jersey,NJ,1999,5.15,5.150000095367432,5.150000000000033,5.150000095367432,5.15,5.150000095367432
1545,34,New Jersey,NJ,2000,5.15,5.150000095367432,5.150000000000033,5.150000095367432,5.15,5.150000095367432
1546,34,New Jersey,NJ,2001,5.15,5.150000095367432,5.150000000000033,5.150000095367432,5.15,5.150000095367432
1547,34,New Jersey,NJ,2002,5.15,5.150000095367432,5.150000000000033,5.150000095367432,5.15,5.150000095367432
1548,34,New Jersey,NJ,2003,5.15,5.150000095367432,5.150000000000033,5.150000095367432,5.15,5.150000095367432
1549,34,New Jersey,NJ,2004,5.15,5.150000095367432,5.150000000000033,5.150000095367432,5.15,5.150000095367432
1550,34,New Jersey,NJ,2005,5.15,5.150000095367432,5.150000000000033,5.402054786682129,5.15,6.150000095367432
1551,34,New Jersey,NJ,2006,5.15,6.150000095367432,5.150000000000033,6.402054786682129,5.15,7.150000095367432
1552,34,New Jersey,NJ,2007,5.15,7.150000095367432,5.458767123287677,7.150000095367432,5.8500000000000005,7.150000095367432
1553,34,New Jersey,NJ,2008,5.8500000000000005,7.150000095367432,6.157923497267729,7.150000095367432,6.55,7.150000095367432
1554,34,New Jersey,NJ,2009,6.55,7.150000095367432,6.858767123287659,7.1941094398498535,7.25,7.25
1555,34,New Jersey,NJ,2010,7.25,7.25,7.25,7.25,7.25,7.25
1556,34,New Jersey,NJ,2011,7.25,7.25,7.25,7.25,7.25,7.25
1557,34,New Jersey,NJ,2012,7.25,7.25,7.25,7.25,7.25,7.25
1558,34,New Jersey,NJ,2013,7.25,7.25,7.25,7.25,7.25,7.25
1559,34,New Jersey,NJ,2014,7.25,8.25,7.25,8.25,7.25,8.25
1560,34,New Jersey,NJ,2015,7.25,8.380000114440918,7.25,8.380000114440918,7.25,8.380000114440918
1561,34,New Jersey,NJ,2016,7.25,8.380000114440918,7.25,8.380000114440918,7.25,8.380000114440918
